,Station,ID,State,File,Latitude,Longitude
0,Bayview Model Basin,id0667,ID,ID Bayview Model Basin,47.59,-116.33
1,Coeur D Alene 1 E,id1956,ID,ID Coeur D Alene 1 E,47.41,-116.45
2,Cottonwood 2 Wsw,id2159,ID,ID Cottonwood 2 Wsw,46.02,-116.23
3,Craigmont,id2246,ID,ID Craigmont,46.14,-116.29
4,Lewiston Water Plant,id5236,ID,ID Lewiston Water Plant,46.25,-117.01
5,Lewiston Wso Ap,id5241,ID,ID Lewiston Wso Ap,46.23,-117.01
6,Moscow Univ Of Idaho,id6152,ID,ID Moscow Univ Of Idaho,46.44,-116.58
7,Plummer 3 Wsw,id7188,ID,ID Plummer 3 Wsw,47.19,-116.57
8,Porthill,id7264,ID,ID Porthill,49.0,-116.3
9,Potlatch 3 Nne,id7301,ID,ID Potlatch 3 Nne,46.58,-116.53
10,Priest River Exp Stn,id7386,ID,ID Priest River Exp Stn,48.21,-116.5
11,Saint Maries,id8062,ID,ID Saint Maries,47.19,-116.34
12,Sandpoint Expermnt Stn,id8137,ID,ID Sandpoint Expermnt Stn,48.17,-116.34
13,Tensed,id9029,ID,ID Tensed,47.1,-116.55
14,Winchester 1 Se,id9840,ID,ID Winchester 1 Se,46.14,-116.37
15,Winchester,id9846,ID,ID Winchester,46.14,-116.34
16,Arlington,or0265,OR,OR Arlington,45.43,-120.12
17,Astor Experiment Stn,or0318,OR,OR Astor Experiment Stn,46.09,-123.49
18,Astoria,or0324,OR,OR Astoria,46.11,-123.5
19,Astoria Wso Airport,or0328,OR,OR Astoria Wso Airport,46.09,-123.53
20,Aurora,or0343,OR,OR Aurora,45.14,-122.45
21,Beaverton 2 Ssw,or0595,OR,OR Beaverton 2 Ssw,45.27,-122.49
22,Big Eddy,or0753,OR,OR Big Eddy,45.37,-121.07
23,Boardman,or0858,OR,OR Boardman,45.5,-119.42
24,Bonneville Dam,or0897,OR,OR Bonneville Dam,45.38,-121.57
